es_id,species,pct_low,pct_high
028BY087NV,PSSP,20.00,40.00
028BY087NV,ACTH7,15.00,30.00
028BY087NV,LECI4,2.00,8.00
028BY087NV,POCA,1.00,2.50
028BY087NV,POFE,1.00,2.50
028BY087NV,ACHY,0.00,2.00
028BY087NV,ELEL5,0.00,2.00
028BY087NV,POSE,0.00,2.00
028BY087NV,ELMA7,0.00,2.00
028BY087NV,IOAL,2.00,5.00
028BY087NV,CRAC2,2.00,5.00
028BY087NV,PHLOX,0.00,2.00
028BY087NV,ERIOG,0.00,2.00
028BY087NV,LUPIN,0.00,2.00
028BY087NV,ARTRV,15.00,25.00
028BY087NV,PUTR2,5.00,10.00
028BY087NV,CHVI8,0.00,2.00
028BY087NV,SYMPH,0.00,2.00
028BY087NV,AMUT,0.00,2.00
028BY087NV,PIMO,0.00,2.00
028BY087NV,JUOS,0.00,2.00
028BY091NV,PSSP,20.00,30.00
028BY091NV,POFE,5.00,10.00
028BY091NV,ACHY,2.00,5.00
028BY091NV,PPGG,2.00,8.00
028BY091NV,ELEL5,0.00,2.00
028BY091NV,HECO26,0.00,2.00
028BY091NV,PONE3,0.00,2.00
028BY091NV,POSE,0.00,2.00
028BY091NV,POCA,0.00,2.00
028BY091NV,  BASA3,0.00,2.00
028BY091NV,  CRAC2,0.00,2.00
028BY091NV,AMUT,30.00,40.00
028BY091NV,ARTRV,5.00,15.00
028BY091NV,PUTR2,5.00,15.00
028BY091NV,  CHVI8,0.00,2.00
028BY091NV,  SYMPH,0.00,2.00
028BY091NV,  PIMO,0.00,2.00
028BY091NV,  JUOS,0.00,2.00
028BY030NV,PSSPS,30.00,40.00
028BY030NV,ACTH7,10.00,20.00
028BY030NV,LECI4,2.00,10.00
028BY030NV,POFE,2.00,8.00
028BY030NV,  ACHY,0.00,2.00
028BY030NV,  CAREX,0.00,2.00
028BY030NV,  POSE,0.00,2.00
028BY030NV,  HECO26,0.00,2.00
028BY030NV,  ACNE9,0.00,2.00
028BY030NV,  CRAC2,0.00,2.00
028BY030NV,  LUPIN,0.00,2.00
028BY030NV,  BASA3,0.00,2.00
028BY030NV,ARTRV,15.00,25.00
028BY030NV,PUTR2,2.00,10.00
028BY030NV,  CHVI8,0.00,2.00
028BY030NV,  AMUT,0.00,2.00
028BY030NV,  EPVI,0.00,2.00
028BY030NV,  SYMPH,0.00,2.00
028BY030NV,  ERMI4,0.00,2.00
028BY030NV,  JUOS,0.00,2.00
028BY030NV,  PIMO,0.00,2.00
028BY096NV,PSSP,15.00,25.00
028BY096NV,  POFE,2.50,7.50
028BY096NV,  POCA,2.50,7.50
028BY096NV,ACHY,2.00,8.00
028BY096NV,  ELEL5,2.00,8.00
028BY096NV,  CRAC2,0.00,2.00
028BY096NV,  BASA3,0.00,2.00
028BY096NV,  LUPIN,0.00,2.00
028BY096NV,PUTR2,30.00,45.00
028BY096NV,ARTRV,5.00,15.00
028BY096NV,  CHVI8,0.00,2.00
028BY096NV,  SYMPH,0.00,2.00
028BY096NV,  AMUT,0.00,2.00
028BY096NV,  JUOS,0.00,2.00
028BY096NV,  PIMO,0.00,2.00
028BY046NV,PSSPS,10.00,20.00
028BY046NV,  ACTH7,2.00,5.00
028BY046NV,  ACOC3,2.00,5.00
028BY046NV,POA,2.00,8.00
028BY046NV,ACHY,2.00,5.00
028BY046NV,  ELEL5,0.00,2.00
028BY046NV,  BASA3,0.00,2.00
028BY046NV,  CRAC2,0.00,2.00
028BY046NV,PUTR2,30.00,45.00
028BY046NV,ARTRV,5.00,15.00
028BY046NV,  CHVI8,0.00,2.00
028BY046NV,  SYMPH,0.00,2.00
028BY046NV,  AMUT,0.00,2.00
028BY033NV,PSSPS,40.00,60.00
028BY033NV,ACLE9,15.00,25.00
028BY033NV,POFE,10.00,20.00
028BY033NV,ACPI2,2.00,8.00
028BY033NV,  ELEL5,0.00,2.00
028BY033NV,  CAREX,0.00,2.00
028BY033NV,  PENST,0.00,2.00
028BY033NV,  PYRRO,0.00,2.00
028BY033NV,ARTRV,15.00,25.00
028BY033NV,PUTR2,2.00,5.00
028BY033NV,  SYMPH,0.00,2.00
028BY033NV,  ERMI4,0.00,2.00
028BY033NV,  BERE,0.00,2.00
028BY033NV,  CHVI8,0.00,2.00
028BY105NV,ACLE9,20.00,25.00
028BY105NV,ELTR7,10.00,15.00
028BY105NV,ELLA3,0.00,2.00
028BY105NV,CARO5,0.00,2.00
028BY105NV,   POFE,0.00,2.00
028BY105NV,PSSPS,0.00,2.00
028BY105NV,  PEWA,0.00,2.00
028BY105NV,  STAC,0.00,2.00
028BY105NV,  LUPIN,0.00,2.00
028BY105NV,  CASTI2,0.00,2.00
028BY105NV,   ASTRA,0.00,2.00
028BY105NV,AAFF,0.00,2.00
028BY105NV,ARTRV,30.00,35.00
028BY105NV,  RIMO2,0.00,2.00
028BY105NV,  CHVI8,0.00,2.00
028BY105NV,  SYOR,0.00,2.00
028BY105NV,  ERDI14,0.00,2.00
028BY029NV,BRMA4,15.00,20.00
028BY029NV,ACLE9,15.00,20.00
028BY029NV,FEID,5.00,10.00
028BY029NV,ACNE9,2.00,8.00
028BY029NV,ELTR7,2.00,8.00
028BY029NV,CAREX,2.00,5.00
028BY029NV,  PSSPS,0.00,2.00
028BY029NV,  KOMA,0.00,2.00
028BY029NV,  LECI4,0.00,2.00
028BY029NV,  CASTI2,0.00,2.00
028BY029NV,  LIRU4,0.00,2.00
028BY029NV,  ASTER,0.00,2.00
028BY029NV,  LUPIN,0.00,2.00
028BY029NV,  WYAM,0.00,2.00
028BY029NV,  CRAC2,0.00,2.00
028BY029NV,  BASA3,0.00,2.00
028BY029NV,ARTRV,15.00,25.00
028BY029NV,SYMPH,2.00,5.00
028BY029NV,  CHVI8  ,0.00,2.00
028BY029NV,  AMELA,0.00,2.00
028BY029NV,  PUTR2,0.00,2.00
028BY029NV,  PRVI,0.00,2.00
028BY029NV,  SAMBU,0.00,2.00
028BY029NV,  ERMI4,0.00,2.00
028BY029NV,  ERUM,0.00,2.00
028BY104NV,ELTR7,15.00,20.00
028BY104NV,ACLE9,15.00,20.00
028BY104NV,POFE,0.00,2.00
028BY104NV,ACNE9,0.00,2.00
028BY104NV,MEBU,0.00,2.00
028BY104NV, BRMA4,0.00,2.00
028BY104NV,   ACPI2,0.00,2.00
028BY104NV,  PEWA,0.00,2.00
028BY104NV,  LUPIN,0.00,2.00
028BY104NV,  ARABI,0.00,2.00
028BY104NV,  BASA3,0.00,2.00
028BY104NV,  ACMI2,0.00,2.00
028BY104NV,AAFF,0.00,2.00
028BY104NV,ARTRV,30.00,35.00
028BY104NV,RIMO2,10.00,15.00
028BY104NV,  CHVIL4,0.00,2.00
028BY104NV,  SYOR2,0.00,2.00
028BY104NV,  ERDI14,0.00,2.00
028BY085NV,PSSP,15.00,30.00
028BY085NV,  ACNE9,5.00,20.00
028BY085NV,  ACLE9,5.00,20.00
028BY085NV,BRMA4,5.00,10.00
028BY085NV,LEKI2,5.00,10.00
028BY085NV,LETR7,5.00,10.00
028BY085NV,  LECI4,0.00,2.00
028BY085NV,  ELMU3,0.00,2.00
028BY085NV,  POA,0.00,2.00
028BY085NV,  POCA,0.00,2.00
028BY085NV,  POFE,0.00,2.00
028BY085NV,  LUPIN,0.00,2.00
028BY085NV,  PENST,0.00,2.00
028BY085NV,ARTRV,15.00,25.00
028BY085NV,SYMPH,2.00,8.00
028BY085NV,AMUT,0.50,5.00
028BY085NV,  PUTR2,0.00,2.00
028BY085NV,  EPVI,0.00,2.00
028BY085NV,  RIBES,0.00,2.00
028BY085NV,  PRVI,0.00,2.00
028BY085NV,  RIMO2,0.00,2.00
028BY070NV,PSSP,50.00,60.00
028BY070NV,POCA,5.00,15.00
028BY070NV,FEKI2,0.50,10.00
028BY070NV,  ACHY,0.00,2.00
028BY070NV,  POFE,0.00,2.00
028BY070NV,  ACLE9,0.00,2.00
028BY070NV,  PENST,0.00,2.00
028BY070NV,  CASTI2,0.00,2.00
028BY070NV,  ERIOG,0.00,2.00
028BY070NV,  LUPIN,0.00,2.00
028BY070NV,  GILIA,0.00,2.00
028BY070NV,ARTRV,10.00,20.00
028BY070NV,SYMPH,2.00,8.00
028BY070NV,  AMELA,0.00,2.00
028BY070NV,  PUTR2,0.00,2.00
028BY070NV,  CHVI8,0.00,2.00
028BY026NV,PSSPS,10.00,20.00
028BY026NV,  ACTH7,2.00,10.00
028BY026NV,  ACOC3,2.00,10.00
028BY026NV,POA,2.00,8.00
028BY026NV,  ACHY,0.00,2.00
028BY026NV,  ELEL5,0.00,2.00
028BY026NV,  ACNE9,0.00,2.00
028BY026NV,  BASA3,0.00,2.00
028BY026NV,  CRAC2,0.00,2.00
028BY026NV,  LUPIN,0.00,2.00
028BY026NV,AMUT,35.00,45.00
028BY026NV,PUTR2,5.00,15.00
028BY026NV,ARTRV,5.00,15.00
028BY026NV,SYMPH,2.00,8.00
028BY026NV,  CHVI8,0.00,2.00
028BY026NV,  PRVI,0.00,2.00
028BY094NV,PSSP,30.00,50.00
028BY094NV,ACHY,5.00,15.00
028BY094NV,  POCA,1.00,5.00
028BY094NV,  POSE,1.00,5.00
028BY094NV,LECI4,2.00,5.00
028BY094NV,HECO26,2.00,5.00
028BY094NV,  ELEL5,0.00,2.00
028BY094NV,  ELMA7,0.00,2.00
028BY094NV,  CRAC2,0.00,2.00
028BY094NV,  BASA3,0.00,2.00
028BY094NV,  PHLOX,0.00,2.00
028BY094NV,  HAPLO2,0.00,2.00
028BY094NV,  ARTRW,10.00,20.00
028BY094NV,  ARTRV,10.00,20.00
028BY094NV,  PUTR2,0.00,2.00
028BY094NV,  CHVI8,0.00,2.00
028BY094NV,  EPHED,0.00,2.00
028BY094NV,  LEPU,0.00,2.00
028BY094NV,  JUOS,0.00,2.00
028BY094NV,  PIMO,0.00,2.00
028BY088NV,PSSP,40.00,50.00
028BY088NV,  POFE,3.00,8.00
028BY088NV,  POCA,3.00,8.00
028BY088NV,LECI4,2.00,8.00
028BY088NV,  ACHY,0.00,2.00
028BY088NV,  ELEL5,0.00,2.00
028BY088NV,  LEKI2,0.00,2.00
028BY088NV,  ELMA7,0.00,2.00
028BY088NV,  CRAC2,0.00,2.00
028BY088NV,  LUPIN,0.00,2.00
028BY088NV,  LIRU4,0.00,2.00
028BY088NV,ARTRV,10.00,20.00
028BY088NV,PUTR2,2.00,10.00
028BY088NV,SYMPH,2.00,5.00
028BY088NV,AMUT,0.50,5.00
028BY088NV,  CHVI8,0.00,2.00
028BY088NV,  ERNA10,0.00,2.00
028BY088NV,  PIMO,0.00,2.00
028BY088NV,  JUOS,0.00,2.00
028BY079NV,PSSP,30.00,40.00
028BY079NV,ACHY,15.00,30.00
028BY079NV,  POCA,2.00,8.00
028BY079NV,  POFE,2.00,8.00
028BY079NV,  HECO26,0.00,2.00
028BY079NV,  LECI4,0.00,2.00
028BY079NV,  ELEL5,0.00,2.00
028BY079NV,  POSE,0.00,2.00
028BY079NV,  PHLOX,0.00,2.00
028BY079NV,  CRAC2,0.00,2.00
028BY079NV,  ERIOG,0.00,2.00
028BY079NV,  LUPIN,0.00,2.00
028BY079NV,ARTRV,15.00,25.00
028BY079NV,PUTR2,5.00,10.00
028BY079NV,  CHVI8,0.00,2.00
028BY079NV,  SYMPH,0.00,2.00
028BY079NV,  AMUT,0.00,2.00
028BY079NV,  LEPU,0.00,2.00
028BY079NV,  EPVI,0.00,2.00
028BY079NV,  PIMO,0.00,2.00
028BY079NV,  JUOS,0.00,2.00
028BY015NV,PSSPS,30.00,40.00
028BY015NV,  ACTH7 ,2.00,10.00
028BY015NV,  ACOC3,2.00,10.00
028BY015NV,LECI4,2.00,8.00
028BY015NV,POFE,2.00,8.00
028BY015NV,  LEKI2,0.00,2.00
028BY015NV,  ACHY,0.00,2.00
028BY015NV,  POSE,0.00,2.00
028BY015NV,BASA3,2.00,5.00
028BY015NV,CRAC2,2.00,5.00
028BY015NV,  LUPIN,0.00,2.00
028BY015NV,  LIRU4,0.00,2.00
028BY015NV,ARTRV,10.00,20.00
028BY015NV,SYMPH,2.00,8.00
028BY015NV,AMUT,2.00,8.00
028BY015NV,PUTR2,2.00,8.00
028BY015NV,  CHVI8,0.00,2.00
028BY015NV,  ERMI4,0.00,2.00
028BY015NV,  PIMO,0.00,2.00
028BY015NV,  JUOS,0.00,2.00
