n_peiid,n_upedonid,obs_year
8,8,1755
1,1,1778
1,1,1793
1,1,1874
1,1,1877
1,1,1885
116,116,1899
6,6,1900
30,30,1901
1,1,1903
1,1,1904
1,1,1905
2,2,1911
1,1,1917
1,1,1918
1,1,1923
11,11,1928
8,8,1929
17,17,1930
1,1,1931
11,11,1932
6,6,1934
30,30,1935
5,5,1936
13,13,1938
21,21,1939
21,21,1940
2,2,1941
18,18,1942
26,26,1943
54,54,1944
49,49,1945
2,2,1946
23,23,1947
39,39,1948
71,71,1949
96,96,1950
117,117,1951
80,80,1952
458,458,1953
703,703,1954
916,916,1955
1018,1018,1956
1149,1149,1957
1225,1225,1958
1435,1435,1959
1319,1319,1960
1514,1514,1961
1417,1417,1962
965,965,1963
1185,1185,1964
1183,1183,1965
1136,1136,1966
1054,1054,1967
1111,1111,1968
1400,1400,1969
1896,1896,1970
1667,1667,1971
1679,1679,1972
1513,1513,1973
2014,2014,1974
2526,2526,1975
2901,2901,1976
3213,3213,1977
3737,3737,1978
3761,3761,1979
3564,3564,1980
3542,3542,1981
3661,3661,1982
3538,3538,1983
4565,4565,1984
4999,4999,1985
3793,3793,1986
5268,5268,1987
5425,5425,1988
9768,9768,1989
11824,11824,1990
8681,8681,1991
10145,10145,1992
11717,11717,1993
11072,11072,1994
10875,10875,1995
12631,12631,1996
12769,12769,1997
12391,12391,1998
13864,13864,1999
14179,14179,2000
18243,18243,2001
16134,16134,2002
15210,15210,2003
24035,24035,2004
20306,20306,2005
25800,25800,2006
33724,33724,2007
37417,37417,2008
37418,37418,2009
42422,42422,2010
59893,59893,2011
35965,35965,2012
18996,18996,2013
26048,26048,2014
12933,12933,2015
11647,11647,2016
15162,15162,2017
3480,3480,2018
4,4,2020
2,2,2022
1,1,2023
1,1,2027
1,1,2079
1,1,2102
1,1,2103
2,2,2106
2,2,2205
3,3,2209
1,1,2313
1,1,2660
4,4,2880
1,1,2976
3,3,3003
1,1,3012
1,1,3013
1,1,4968
1,1,4978
1,1,6469
1,1,7978
1,1,9661
5,5,9777
2,2,9799
1,1,9862
1,1,9863
1,1,9889
5,5,9999
