datetime,type
2013-05-02 1900,f
2013-05-02 2130,f
2013-05-02 2320,f
2013-05-03 0225,f
2013-05-03 0645,f
2013-05-03 0915,f
2013-05-03 1215,f
2013-05-03 1500,f
2013-05-03 1730,b
2013-05-03 1745,f
2013-05-03 1830,f
2013-05-03 2055,f
2013-05-04 0205,f
2013-05-04 0430,b
2013-05-04 0700,b
2013-05-04 0910,b
2013-05-04 1130,b
2013-05-04 1300,b
2013-05-04 1620,b
2013-05-04 1745,b
2013-05-04 1935,b
2013-05-04 2030,b
2013-05-04 2140,f
2013-05-05 0140,b
2013-05-05 0420,b
2013-05-05 0710,b
2013-05-05 0930,b
2013-05-05 1150,b
2013-05-05 1330,b
2013-05-05 1520,b
2013-05-05 1741,b
2013-05-05 1955,b
2013-05-05 2320,b
2013-05-06 0310,b
2013-05-06 0635,b
2013-05-06 0930,b
2013-05-06 1130,b
2013-05-06 1315,b
2013-05-06 1530,b
2013-05-06 1750,b
2013-05-06 2005,b
2013-05-06 2205,b
2013-05-07 0025,b
2013-05-07 0330,b
2013-05-07 0700,b
2013-05-07 0930,b
2013-05-07 1130,b
2013-05-07 1305,b
2013-05-07 1450,b
2013-05-07 1610,b
2013-05-07 1815,b
2013-05-07 2000,b
2013-05-07 2130,b
2013-05-08 0038,b
2013-05-08 0526,b
2013-05-08 0900,b
2013-05-08 1035,b
2013-05-08 1200,b
2013-05-08 1340,b
2013-05-08 1528,b
2013-05-08 1740,b
2013-05-08 1904,b
2013-05-08 2010,b
2013-05-08 2130,b
2013-05-09 0245,b
2013-05-09 0605,b
2013-05-09 0800,b
2013-05-09 0950,b
2013-05-09 1100,b
2013-05-09 1200,b
2013-05-09 1316,b
2013-05-09 1451,b
2013-05-09 1554,b
2013-05-09 1715,b
2013-05-09 1835,b
2013-05-09 2010,b
2013-05-09 2043,b
2013-05-09 2245,b
2013-05-09 2345,b
2013-05-10 0300,b
2013-05-10 0712,b
2013-05-10 0900,b
2013-05-10 1005,b
2013-05-10 1100,b
2013-05-10 1225,b
2013-05-10 1325,b
2013-05-10 1445,b
2013-05-10 1642,b
2013-05-10 1750,b
2013-05-10 1830,b
2013-05-10 1930,b
2013-05-10 2005,b
2013-05-10 2103,b
2013-05-10 2215,b
2013-05-11 0208,b
2013-05-11 0440,b
2013-05-11 0726,b
2013-05-11 0855,b
2013-05-11 0950,b
2013-05-11 1110,b
2013-05-11 1419,b
2013-05-11 1550,b
2013-05-11 1716,b
2013-05-11 2005,b
2013-05-11 2150,b
2013-05-12 0103,b
2013-05-12 0435,b
2013-05-12 0745,b
NA,NA
2013-05-13 2312,b
2013-05-14 0254,b
2013-05-14 0550,b
2013-05-14 0728,b
NA,NA
2013-05-15 0011,b
2013-05-15 0320,b
2013-05-15 0627,b
2013-05-15 0815,b
2013-05-15 1012,b
2013-05-15 1204,b
2013-05-15 1414,b
2013-05-15 1613,b
2013-05-15 1745,b
2013-05-15 2005,b
2013-05-15 2208,b
2013-05-16 0240,b
2013-05-16 0540,b
2013-05-16 0804,b
2013-05-16 1001,b
2013-05-16 1300,b
2013-05-16 1520,b
2013-05-16 1720,b
2013-05-16 1921,b
2013-05-16 2110,b
2013-05-16 2206,b
2013-05-17 0249,b
2013-05-17 0657,b
2013-05-17 0830,b
2013-05-17 1020,b
2013-05-17 1225,b
2013-05-17 1454,b
2013-05-17 1630,b
2013-05-17 1830,b
2013-05-17 1955,b
2013-05-17 2205,b
2013-05-18 0021,b
2013-05-18 0412,b
2013-05-18 0729,b
2013-05-18 0820,b
2013-05-18 0956,b
2013-05-18 1225,b
2013-05-18 1451,b
2013-05-18 1730,b
2013-05-18 1905,b
2013-05-18 2055,b
2013-05-18 2212,b
2013-05-19 0140,b
2013-05-19 0622,b
2013-05-19 0835,b
2013-05-19 1021,b
2013-05-19 1200,b
2013-05-19 1343,b
2013-05-19 1530,b
2013-05-19 1712,b
2013-05-19 1907,b
2013-05-19 1957,b
2013-05-19 2206,b
2013-05-20 0239,b
2013-05-20 0600,b
2013-05-20 0801,b
2013-05-20 0947,b
2013-05-20 1143,b
2013-05-20 1256,b
2013-05-20 1450,b
2013-05-20 1655,b
2013-05-20 1900,b
2013-05-20 2000,b
2013-05-20 2200,b
2013-05-21 0138,b
2013-05-21 0355,b
2013-05-21 0522,b
2013-05-21 0638,b
2013-05-21 0858,b
2013-05-21 1115,b
2013-05-21 1217,b
2013-05-21 1407,b
2013-05-21 1605,b
2013-05-21 1800,b
2013-05-21 1952,b
2013-05-21 2049,b
2013-05-21 2130,b
2013-05-21 2200,b
2013-05-22 0245,b
2013-05-22 0528,b
2013-05-22 0745,b
2013-05-22 0946,b
2013-05-22 1215,b
2013-05-22 1346,b
2013-05-22 1450,b
2013-05-22 1624,b
2013-05-22 1850,b
2013-05-22 2313,b
2013-05-23 0302,b
2013-05-23 0540,b
2013-05-23 0800,b
2013-05-23 1034,b
2013-05-23 1145,b
2013-05-23 1428,b
2013-05-23 1635,b
2013-05-23 1831,b
2013-05-23 2057,b
2013-05-23 2215,b
2013-05-24 0140,b
2013-05-24 0538,b
2013-05-24 0656,b
2013-05-24 0858,b
2013-05-24 1055,b
2013-05-24 1259,b
2013-05-24 1440,b
2013-05-24 1623,b
2013-05-24 1830,b
2013-05-24 1950,b
2013-05-24 2143,b
2013-05-25 0154,b
2013-05-25 0549,b
2013-05-25 0726,b
2013-05-25 0925,b
2013-05-25 1053,b
2013-05-25 1315,b
2013-05-25 1513,b
2013-05-25 1745,b
2013-05-25 1902,b
2013-05-25 1928,b
2013-05-25 2047,b
2013-05-25 2227,b
2013-05-26 0242,b
2013-05-26 0540,b
2013-05-26 0658,b
2013-05-26 0816,b
2013-05-26 1043,b
2013-05-26 1240,b
2013-05-26 1500,b
2013-05-26 1629,b
2013-05-26 1800,b
2013-05-26 2010,b
2013-05-26 2213,b
2013-05-27 0140,b
2013-05-27 0505,b
2013-05-27 0706,b
2013-05-27 0905,b
2013-05-27 1115,b
2013-05-27 1331,b
2013-05-27 1525,b
2013-05-27 1642,b
2013-05-27 1815,b
2013-05-27 2010,b
2013-05-27 2216,b
2013-05-28 0237,b
2013-05-28 0514,b
2013-05-28 0749,b
2013-05-28 1000,b
2013-05-28 1200,b
2013-05-28 1400,b
2013-05-28 1754,b
2013-05-28 1945,b
2013-05-28 2115,b
2013-05-28 2226,b
2013-05-29 0310,b
2013-05-29 0530,b
2013-05-29 0655,b
